,price,date
"1992-12-01",334.82,"1992-12-01"
"1993-01-01",329.01,"1993-01-01"
"1993-02-01",329.31,"1993-02-01"
"1993-03-01",330.08,"1993-03-01"
"1993-04-01",342.15,1993-04-01
"1993-05-01",367.18,"1993-05-01"
"1993-06-01",371.89,"1993-06-01"
"1993-07-01",392.19,"1993-07-01"
"1993-08-01",378.84,"1993-08-01"
"1993-09-01",355.28,"1993-09-01"
"1993-10-01",364.18,"1993-10-01"
"1993-11-01",373.83,"1993-11-01"
"1993-12-01",383.3,"1993-12-01"
"1994-01-01",386.88,"1994-01-01"
"1994-02-01",381.91,"1994-02-01"
"1994-03-01",384.13,"1994-03-01"
"1994-04-01",377.27,"1994-04-01"
"1994-05-01",381.43,"1994-05-01"
"1994-06-01",385.64,"1994-06-01"
"1994-07-01",385.49,"1994-07-01"
"1994-08-01",380.36,"1994-08-01"
"1994-09-01",391.58,"1994-09-01"
"1994-10-01",389.77,"1994-10-01"
"1994-11-01",384.39,"1994-11-01"
"1994-12-01",379.29,"1994-12-01"
"1995-01-01",378.55,"1995-01-01"
"1995-02-01",376.64,"1995-02-01"
"1995-03-01",382.12,"1995-03-01"
"1995-04-01",391.03,"1995-04-01"
"1995-05-01",385.22,"1995-05-01"
"1995-06-01",387.56,"1995-06-01"
"1995-07-01",386.23,"1995-07-01"
"1995-08-01",383.67,"1995-08-01"
"1995-09-01",383.06,"1995-09-01"
"1995-10-01",383.14,"1995-10-01"
"1995-11-01",385.31,"1995-11-01"
"1995-12-01",387.44,"1995-12-01"
"1996-01-01",399.45,"1996-01-01"
"1996-02-01",404.76,"1996-02-01"
"1996-03-01",396.21,"1996-03-01"
"1996-04-01",392.85,"1996-04-01"
"1996-05-01",391.93,"1996-05-01"
"1996-06-01",385.27,"1996-06-01"
"1996-07-01",383.47,"1996-07-01"
"1996-08-01",387.35,"1996-08-01"
"1996-09-01",383.14,"1996-09-01"
"1996-10-01",381.07,"1996-10-01"
"1996-11-01",377.85,"1996-11-01"
"1996-12-01",369,"1996-12-01"
"1997-01-01",355.11,"1997-01-01"
"1997-02-01",346.58,"1997-02-01"
"1997-03-01",351.81,"1997-03-01"
"1997-04-01",344.47,"1997-04-01"
"1997-05-01",343.84,"1997-05-01"
"1997-06-01",340.76,"1997-06-01"
"1997-07-01",324.1,"1997-07-01"
"1997-08-01",324.01,"1997-08-01"
"1997-09-01",322.82,"1997-09-01"
"1997-10-01",324.87,"1997-10-01"
"1997-11-01",306.04,"1997-11-01"
"1997-12-01",288.74,"1997-12-01"
"1998-01-01",289.1,"1998-01-01"
"1998-02-01",297.49,"1998-02-01"
"1998-03-01",295.94,"1998-03-01"
"1998-04-01",308.29,"1998-04-01"
"1998-05-01",299.1,"1998-05-01"
"1998-06-01",292.32,"1998-06-01"
"1998-07-01",292.87,"1998-07-01"
"1998-08-01",284.11,"1998-08-01"
"1998-09-01",288.98,"1998-09-01"
"1998-10-01",295.93,"1998-10-01"
"1998-11-01",294.12,"1998-11-01"
"1998-12-01",291.68,"1998-12-01"
"1999-01-01",287.08,"1999-01-01"
"1999-02-01",287.33,"1999-02-01"
"1999-03-01",285.96,"1999-03-01"
"1999-04-01",282.62,"1999-04-01"
"1999-05-01",276.44,"1999-05-01"
"1999-06-01",261.31,"1999-06-01"
"1999-07-01",256.08,"1999-07-01"
"1999-08-01",256.69,"1999-08-01"
"1999-09-01",264.74,"1999-09-01"
"1999-10-01",310.72,"1999-10-01"
"1999-11-01",293.18,"1999-11-01"
"1999-12-01",283.07,"1999-12-01"
"2000-01-01",284.32,"2000-01-01"
"2000-02-01",299.86,"2000-02-01"
"2000-03-01",286.39,"2000-03-01"
"2000-04-01",279.69,"2000-04-01"
"2000-05-01",275.19,"2000-05-01"
"2000-06-01",285.73,"2000-06-01"
"2000-07-01",281.59,"2000-07-01"
"2000-08-01",274.47,"2000-08-01"
"2000-09-01",273.68,"2000-09-01"
"2000-10-01",270,"2000-10-01"
"2000-11-01",266.01,"2000-11-01"
"2000-12-01",271.45,"2000-12-01"
"2001-01-01",265.49,"2001-01-01"
"2001-02-01",261.87,"2001-02-01"
"2001-03-01",263.03,"2001-03-01"
"2001-04-01",260.48,"2001-04-01"
"2001-05-01",272.36,"2001-05-01"
"2001-06-01",270.23,"2001-06-01"
